isco_4digit,E_j_mean,E_sub_mean,E_aug_mean,delta_bfs_post,is_outlier,main_group,n_onet_berufe,sektor,employed_2019,employed_2022,delta_bfs_pre,did
2152,0.6518945286459308,0.5877143808715438,0.742844313024246,11.772856190832965,False,2,4,Ingenieurwesen & Naturwiss.,2.4515744970689997,3.099915272122,26.44589327504138,-14.673037084208417
2161,0.5549108408153365,0.4622570871273581,0.6899678967797114,9.894978048683711,False,2,1,Ingenieurwesen & Naturwiss.,27.547955655545003,28.544426125306003,3.617221118767212,6.2777569299164995
2162,0.07656901633450645,0.0620445077987226,0.0978420849279774,5.71050797940129,False,2,2,Ingenieurwesen & Naturwiss.,1.268175795329,1.572515060856,23.998192257568345,-18.287684278167056
2163,0.1647231510242086,0.14389469108391675,0.19469486568605654,1.106588408346758,False,2,5,Ingenieurwesen & Naturwiss.,5.267799765758,5.2040786091180005,-1.2096351318097365,2.3162235401564946
2164,0.5828881757494724,0.5191565310016992,0.6738294218340728,34.67581706470658,False,2,2,Ingenieurwesen & Naturwiss.,2.7417007302100003,2.986436137319,8.926408503026305,25.749408561680273
2165,0.6354649995686827,0.6269652175887577,0.6421676115998805,12.150989028182206,False,2,2,Ingenieurwesen & Naturwiss.,1.3623077134090003,1.377854227406,1.141189603786103,11.009799424396103
2166,0.22654660506630356,0.20192000654342404,0.26167452136471275,10.20017076159689,False,2,5,Ingenieurwesen & Naturwiss.,11.969955882889998,12.445369746459,3.9717261134484634,6.228444648148427
2212,0.10694175935067694,0.09289471864965877,0.12719553089307034,-2.7904627329039604,False,2,9,Gesundheit & Bildung,23.989725181605,37.08194504008001,54.57428027776636,-57.364743010670324
2221,0.03820337244279495,0.032991728105373666,0.04573213425625324,5.464584482285454,False,2,8,Gesundheit & Bildung,87.59364328225203,91.542329713691,4.507960033943517,0.9566244483419366
2230,0.25981733187430855,0.2272922793456765,0.3065949893947548,-5.400444515711197,False,2,2,Gesundheit & Bildung,7.762453212195999,8.390799604639,8.094688306214486,-13.495132821925683
2250,0.2998781978204518,0.2621055944838244,0.3542209771234277,-3.240518553862183,False,2,1,Gesundheit & Bildung,3.379896301594,4.151707657170999,22.835356079208815,-26.075874633071
2261,0.08418160000987747,0.07165718290055827,0.10234862664770106,12.185403600103523,False,2,3,Gesundheit & Bildung,5.132824952111999,5.662456788252,10.318525199696783,1.8668784004067405
2262,0.18513727414459638,0.16680189485357153,0.21113106928852599,-6.325399884219272,False,2,3,Gesundheit & Bildung,6.022718996620999,6.54283315089,8.635869522732287,-14.961269406951558
2263,0.5272711499680811,0.4611763385245293,0.6223358622487056,5.182528827238589,False,2,1,Gesundheit & Bildung,0.342710636437,0.32615951275,-4.829474760128311,10.0120035873669
2264,0.0,0.0,0.0,22.200468481542472,False,2,1,Gesundheit & Bildung,16.446468086057,16.459361803371998,0.07839809281562161,22.12207038872685
2265,0.0696070000684689,0.058791076688431,0.0853258808491589,-2.52451253010368,False,2,1,Gesundheit & Bildung,2.23250983277,2.6122524179290005,17.00967133872968,-19.534183868833363
2266,0.12586828222387395,0.10804919562717144,0.15165604139893324,5.1086153670915495,False,2,2,Gesundheit & Bildung,4.084856912539,4.047666286812,-0.9104511252973967,6.019066492388946
2267,0.11842704152162901,0.10970051325915708,0.13050359934019973,0.9067327842740792,False,2,3,Gesundheit & Bildung,0.8259276990029999,1.084923443269,31.358161807461,-30.45142902318692
2269,0.07032543371767874,0.062278880159153366,0.08183918014701654,13.288390073013618,False,2,17,Gesundheit & Bildung,13.434388071875997,14.319088591201,6.585342887161828,6.70304718585179
2310,0.3542578081595079,0.3115745066856041,0.41551576154683034,5.922274763909165,False,2,29,Gesundheit & Bildung,16.27895771838,16.214208988428997,-0.39774493595432736,6.320019699863493
2320,0.25526522170579513,0.22515610595875393,0.29842479795567817,-15.4376255333406,False,2,3,Gesundheit & Bildung,11.189592060958002,13.416577980547006,19.902297666053954,-35.339923199394555
2330,0.09926515462946713,0.08330443040340164,0.12249460346442681,19.975657554510555,False,2,3,Gesundheit & Bildung,45.650221915331,41.82404447045,-8.381508970487687,28.35716652499824
2342,0.0,0.0,0.0,-3.4070721128704475,False,2,1,Gesundheit & Bildung,27.706868206871,25.699583072334,-7.244720404882191,3.8376482920117434
