soc_code,s_ij,E_j,E_sub_j,E_aug_j,isco_4digit,mapping_stage,ch_isco_4digit,ch_isco_label,main_group,employed_2022,employed_2024,delta_bfs,is_outlier,exposure_category,cluster_x,cluster_y,cluster
13-2041.00,0.4780121348113625,0.608140333500386,0.5863433945633242,0.6352662189972643,3312,1,3312,Fachkräfte im Bereich Kredit und Darlehen,3,1.933962219203,2.110797466890553,9.143676434404602,False,Mittel (0.33–0.66),1,1,1
13-2052.00,0.3886666628019903,0.5921199653208191,0.5510194864212626,0.6486643455288409,2412,1,2412,Finanz- und Anlageberater,2,19.897725421554,20.81871100519237,4.628597310126321,False,Mittel (0.33–0.66),0,0,0
13-2061.00,0.2381342484883129,0.3625847332906139,0.3254119073129909,0.4154082314162382,2411,1,2411,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",2,30.91757631977699,32.86095748101834,6.285684043086613,False,Mittel (0.33–0.66),0,0,0
13-2071.00,0.3208752494477631,0.4375211318787675,0.4097837210923368,0.4753122401293594,3312,1,3312,Fachkräfte im Bereich Kredit und Darlehen,3,1.933962219203,2.110797466890553,9.143676434404602,False,Mittel (0.33–0.66),0,0,0
13-2072.00,0.3271608371983592,0.4379006015276817,0.4054348590392495,0.4828557934040436,3312,1,3312,Fachkräfte im Bereich Kredit und Darlehen,3,1.933962219203,2.110797466890553,9.143676434404602,False,Mittel (0.33–0.66),0,0,0
13-2081.00,0.2654382743911346,0.3575902965010309,0.3261129740109387,0.4018284539689424,2411,1,2411,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",2,30.91757631977699,32.86095748101834,6.285684043086613,False,Mittel (0.33–0.66),0,0,0
13-2082.00,0.4515541277692605,0.557960893716492,0.5511813493236404,0.5628097927148679,2411,1,2411,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",2,30.91757631977699,32.86095748101834,6.285684043086613,False,Mittel (0.33–0.66),1,1,1
13-2099.01,0.4639168420038665,0.6726124735648505,0.641720540690367,0.7128984040387887,2413,1,2413,Finanzanalysten,2,11.92703184398,12.734364557981875,6.768932325852428,False,Hoch (0.66–1.0),0,0,0
15-1211.00,0.3866845086126352,0.5973764895637641,0.5290626822401314,0.6951229747908217,2511,1,2511,Systemanalytiker,2,29.740223548839005,32.15004470820105,8.102901968455852,False,Mittel (0.33–0.66),0,0,0
15-1211.01,0.3508986444553044,0.6060123915130585,0.5350506058042344,0.707688983810748,3252,1,3252,Fachkräfte im Bereich medizinische Dokumentation und Information,3,0.707328782249,0.6898539063011778,-2.470545011933432,False,Mittel (0.33–0.66),0,0,0
15-1212.00,0.4772008616097135,0.6941275067874136,0.639891095894697,0.7695924946426442,2529,1,2529,"Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt.",2,4.8492228385630005,6.558325060565179,35.24486869134368,False,Hoch (0.66–1.0),0,0,0
15-1231.00,0.3018626814042376,0.3785516184236683,0.3469302641295969,0.4228041858295099,2522,1,2522,Systemadministratoren,2,7.8538938488240015,7.015214286634813,-10.67851919484203,False,Mittel (0.33–0.66),1,1,1
15-1232.00,0.2914059370432353,0.4135937662356869,0.3727423042777332,0.4714975220842802,3512,1,3512,Techniker für die Anwenderbetreuung in der Informations- und Kommunikationstechnologie,3,13.888323471840003,14.047835770181605,1.1485353049634035,False,Mittel (0.33–0.66),0,0,0
15-1241.00,0.4371720545364654,0.6839177845305803,0.6168500686938004,0.778933341416174,2523,1,2523,Fachkräfte für Computernetzwerke,2,2.810723149023,3.2563318829901973,15.853882091592324,False,Hoch (0.66–1.0),0,0,0
15-1241.01,0.3087297238149287,0.4455177316367723,0.3946957709524796,0.5182253865151886,2153,1,2153,Ingenieure im Bereich Telekommunikationstechnik,2,1.651368126398,1.1481756527764473,-30.471247784049645,True,Mittel (0.33–0.66),0,0,0
