soc_code,s_ij,E_j,E_sub_j,E_aug_j,isco_4digit,mapping_stage,ch_isco_4digit,ch_isco_label,main_group,employed_2022,employed_2024,delta_bfs,is_outlier
13-1041.00,0.13107901039178618,0.0,0.0,0.0,3359,1,3359,"Fachkräfte in der öffentlichen Verwaltung, anderweitig nicht genannt",3,1.1952449879130005,0.8915400349132869,-25.409431210417218,False
13-1041.03,0.23707287284853024,0.0,0.0,0.0,2422,1,2422,Spezialisten in der strategischen Planung in Politik und Wirtschaft,2,2.9147980542490006,5.080192459807278,74.2896888654673,True
13-1041.04,0.1466510732309731,0.0,0.0,0.0,3112,1,3112,Bauführer und Bautechniker,3,38.516833221537,38.94519300831815,1.1121365671922114,False
13-1041.07,0.22667986539677334,0.0,0.0,0.0,2619,1,2619,"Juristen, anderweitig nicht genannt",2,13.337931516611995,13.413769730663356,0.5685905191288955,False
13-1051.00,0.4134746680570697,0.0,0.0,0.0,2421,1,2421,Spezialisten im Bereich Management- und Organisationsanalyse,2,23.15272405713,25.047760093979186,8.184937686697829,False
13-1071.00,0.14322947755881327,0.0,0.0,0.0,2423,1,2423,Berufsberater und -analytiker und vergleichbare Spezialisten der Personalwesen,2,22.044454867828005,27.63613744207947,25.365483554832863,False
13-1074.00,0.0,0.0,0.0,0.0,3333,1,3333,Arbeits- und Personalvermittler,3,1.4332020387599995,1.4220041110155557,-0.7813223426707291,False
13-1081.01,0.4244997259931747,0.0,0.0,0.0,1324,1,1324,"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen",1,18.928098152166,21.1017139561925,11.483540430488349,False
13-1111.00,0.277529822867511,0.0,0.0,0.0,2422,1,2422,Spezialisten in der strategischen Planung in Politik und Wirtschaft,2,2.9147980542490006,5.080192459807278,74.2896888654673,True
13-1121.00,0.0,0.0,0.0,0.0,3332,1,3332,Konferenz- und Veranstaltungsplaner,3,4.823599589778,6.026339973511182,24.93449883945564,False
13-1131.00,0.11142102398172642,0.0,0.0,0.0,2432,1,2432,Fachkräfte in der Öffentlichkeitsarbeit,2,5.166502693133,5.007895832675806,-3.069907631481635,False
13-1161.01,0.40280540845212925,0.0,0.0,0.0,2431,1,2431,Fachkräfte in Marketing und Werbung,2,43.93795628549201,43.92670158260029,-0.0256149895060899,False
13-1199.04,0.23634973259037523,0.0,0.0,0.0,2529,1,2529,"Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt.",2,4.8492228385630005,6.558325060565179,35.24486869134368,False
13-1199.06,0.3521515373016189,0.0,0.0,0.0,2431,1,2431,Fachkräfte in Marketing und Werbung,2,43.93795628549201,43.92670158260029,-0.0256149895060899,False
13-1199.07,0.14063961912001666,0.0,0.0,0.0,2529,1,2529,"Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt.",2,4.8492228385630005,6.558325060565179,35.24486869134368,False
13-2022.00,0.47955495610611215,0.0,0.0,0.0,3315,1,3315,Schätzer und Schadensgutachter,3,3.6551101946799993,3.6223267584318464,-0.8969205988883489,False
