soc_code,isco_4digit
41-1012.00,1420
41-2012.00,1431
41-2022.00,2433
41-3011.00,3339
41-3021.00,3321
41-3031.00,3311
41-3041.00,3339
41-4011.00,2433
41-4011.07,2433
41-4012.00,3324
41-9012.00,2651
41-9021.00,3334
41-9022.00,3334
41-9031.00,2433
41-9041.00,1212
41-9091.00,2432
43-1011.00,3341
43-2011.00,3133
43-2021.00,1439
43-3011.00,3312
43-3021.00,3313
43-3031.00,2411
43-3041.00,1431
43-3051.00,3313
43-3061.00,3323
43-3071.00,1112
43-4011.00,3311
43-4021.00,3343
43-4031.00,3411
43-4041.00,3312
43-4061.00,3353
43-4071.00,2621
43-4121.00,2621
43-4131.00,3312
43-4141.00,2412
43-4161.00,2423
43-5011.00,3331
43-5011.01,3331
43-5031.00,1112
43-5061.00,2141
43-5111.00,3359
43-6011.00,3343
43-6012.00,3342
43-6013.00,3344
43-6014.00,3343
43-9021.00,3341
43-9022.00,2643
43-9031.00,2166
43-9041.00,3321
43-9061.00,3343
43-9081.00,1349
43-9111.00,2120
45-1011.00,1312
45-2011.00,3359
45-2041.00,3257
45-2091.00,2144
45-3031.00,1311
45-4011.00,2133
45-4021.00,3143
45-4022.00,3143
45-4023.00,3122
47-1011.00,3123
47-1011.03,3123
47-2021.00,3123
47-2031.00,3123
47-2041.00,3123
47-2042.00,3123
47-2043.00,3123
47-2044.00,3123
47-2051.00,3123
47-2053.00,3123
47-2071.00,3112
47-2081.00,3123
47-2082.00,3123
47-2121.00,2651
47-3013.00,3113
47-4011.00,3112
47-4011.01,3112
47-4041.00,3132
47-4051.00,3112
47-4061.00,3112
47-4071.00,3112
47-4099.03,3123
47-5011.00,2146
47-5012.00,2146
47-5022.00,3121
47-5023.00,2146
47-5032.00,2146
47-5041.00,3121
47-5043.00,3121
47-5044.00,3121
47-5071.00,2146
47-5081.00,2114
49-1011.00,3123
49-2011.00,3512
49-2021.00,2153
49-2022.00,2153
49-2091.00,2149
49-2092.00,3113
49-2093.00,3114
49-2094.00,3113
49-2095.00,3131
49-2096.00,3114
49-2097.00,3521
49-2098.00,3112
