ch_isco_4digit,employed_2022,employed_2024,delta_bfs,is_outlier
2659,0.9625897050000001,0.5781345813985391,-39.93966708811424,True
3000,63.49467201543001,64.50187557780743,1.5862804396133419,False
3100,9.621629667242997,10.60582140224975,10.22895049013839,False
3111,8.995486047674996,8.365162717972387,-7.007106968561465,False
3112,38.516833221537,38.94519300831815,1.1121365671922114,False
3113,8.859283643801998,8.999331098083685,1.5807988536371664,False
3114,1.3660585897670001,1.7857538578456174,30.723079611849002,False
3115,11.019605854272998,11.97433846910366,8.663945221420533,False
3116,0.34156791985699997,0.6308560105218247,84.69416296060163,True
3118,27.021317878039003,28.274506348086522,4.637777016294312,False
3119,18.554461015302998,18.856387509419907,1.6272447573006399,False
3122,22.165944935431998,22.01258882965041,-0.6918545824610831,False
3123,26.807374822177003,28.775562191047857,7.341962358964843,False
3131,0.7010095428119999,0.6287862815912058,-10.302750078277226,False
3132,2.789748750421,2.47336977675214,-11.340769437431074,False
3139,0.128551448903,0.18163109175455144,41.290583112449646,True
3141,3.350140159418,3.229993311397246,-3.5863230283961043,False
3142,0.149080719692,0.38273160769729936,156.7277703569052,True
3143,1.241224500745,1.2921670141680055,4.104214297448132,False
3150,0.737155546322,0.8754757340646759,18.764043549942407,False
3152,0.5563350887370001,0.6344814656460332,14.04663816665639,False
3153,3.3559243445070006,3.462788172086736,3.1843336323910574,False
3154,1.401805752024,2.4939146075629024,77.90728879247777,True
3155,0.139631782498,0.19236942727392858,37.76908368027455,False
3211,7.546524178165999,8.47894483407171,12.355630670387821,False
3212,7.281498105076999,7.114033643821429,-2.2998627320771474,False
3213,12.200864284129002,13.779513787408975,12.938833401609873,False
3214,4.551515015314,4.129304585486128,-9.276261385655218,False
3221,33.285511996015,38.493312723472066,15.64584834411004,False
3222,0.4623382934500001,0.2192316645499195,-52.58197997963834,True
3230,0.9668143271240001,1.0961617742967196,13.378726767267887,False
3240,3.3373398745209997,4.181669858627249,25.29949048798734,False
3251,13.524179774083999,15.05870050492386,11.346497580433075,False
3252,0.707328782249,0.6898539063011778,-2.470545011933432,False
3253,0.772204559046,1.0416215754567173,34.889332529137285,False
3254,5.256679593504,4.6672842424727,-11.212312649978735,False
3255,12.063985162247,11.711745253437105,-2.9197641083992236,False
3256,31.514514948059006,31.276075181732093,-0.7566030025209012,False
3257,1.93101920804,2.65008295629057,37.2375243734849,False
3258,4.050694959712999,4.564136736665777,12.675399704478277,False
3259,0.608573771748,0.6275814606160179,3.1233171310394097,False
3300,0.7573794104529998,1.4276451262120822,88.49801123563506,True
3310,0.42410534842599995,0.32251444020138603,-23.954168133378307,False
3311,8.357260989684999,8.538453319440176,2.1680827005261043,False
3312,1.9339622192030002,2.110797466890553,9.143676434404602,False
3313,35.694219590095,36.155744092642564,1.2929950783281245,False
3315,3.6551101946799993,3.6223267584318464,-0.8969205988883489,False
3321,16.217702350982005,16.324559714630414,0.6588933582317137,False
3322,29.811758161446008,29.181809900142657,-2.1130865811129196,False
3323,10.104688062421003,10.266898583215756,1.6052996370863597,False
3324,6.286050496707,7.355296399385477,17.00982044669558,False
3331,4.544567426216001,3.7084506545894294,-18.398159675292963,False
3332,4.8235995897779995,6.026339973511182,24.934498839455642,False
3333,1.4332020387599997,1.4220041110155555,-0.7813223426707291,False
3334,24.240044403385003,24.235080118485673,-0.02047968566689943,False
3339,0.779595074896,0.582892890090946,-25.23132727990804,False
3341,14.08504137531,18.08485422363143,28.39759388518941,False
3342,1.7372712643910002,1.1294237122960085,-34.98863790325068,True
3343,34.92583533916601,35.095276488816104,0.4851455892311484,False
3344,11.622023063692998,12.653849088066766,8.878196323643294,False
3351,3.9205398263989997,4.453572945810789,13.595911354416165,False
3352,2.370113916662,2.5542725194272426,7.770031704830724,False
3353,7.199545648058999,6.8305035239549445,-5.1259085245684695,False
3354,1.7769040672799996,2.102470543258459,18.322118901828,False
3355,4.070975210586001,8.48655250294109,108.46485335683201,True
3359,1.1952449879130003,0.8915400349132869,-25.409431210417218,False
3411,12.039343043658002,12.144299740161113,0.8717809279335977,False
3412,46.231044447982995,50.726888890706896,9.724730419582913,False
3413,3.342897289604,3.1947853108671507,-4.430647007835374,False
3421,1.9573795381589998,2.273935280082425,16.172425211983143,False
3422,18.596802860598004,18.48931429700556,-0.5779948542670491,False
3423,6.404440928735001,7.535353269945205,17.65825235636267,False
3431,4.343179196358999,4.9822881193963156,14.71523264739106,False
3432,8.494832835689,7.006492029903259,-17.52054260011844,False
3433,0.8764893736830001,0.994684168442118,13.48502312839967,False
3434,11.439200624478001,9.634557678626583,-15.775953277624835,False
3435,4.497162307868001,4.315844951925017,-4.031817033282524,False
3510,0.9887137582279999,0.6976185738850148,-29.441805772450657,False
3511,7.196293830648001,7.981507517640701,10.911362229938213,False
3512,13.888323471840003,14.047835770181605,1.1485353049634035,False
3513,2.725629377559,2.28763403627524,-16.06951205068156,False
3514,0.5783717728090001,0.6198297082495005,7.168042665559218,False
3521,6.3466592517499985,5.69390974380046,-10.284930733748663,False
3522,1.612780661437,1.3064298832810843,-18.99519168855576,False
