ch_isco_4digit,ads_2020,ads_2021,ads_2022,ads_2023,ads_2024,ads_2025,delta_x28,delta_x28_pre,did_x28,is_outlier_x28,main_group
2514,176.4575,214.125,259.7075,189.375,124.54,93.8325,-52.04605180828431,47.17849907201449,-99.2245508802988,False,2
2519,703.835,823.205,1270.975,924.8199999999999,560.065,427.77250000000004,-55.934223725879725,80.57854468732016,-136.5127684131999,False,2
2521,418.505,574.995,863.76,538.6175,371.8125,332.7475,-56.95418866351765,106.39179938113045,-163.3459880446481,False,2
2522,1268.6950000000002,1782.235,2414.355,1598.7024999999999,1012.4449999999999,820.9075,-58.06561172652738,90.30223970300189,-148.36785142952925,False,2
2523,386.27250000000004,455.875,592.0425,490.585,320.8325,240.1875,-45.809211331956746,53.27068326116924,-99.07989459312599,False,2
2529,1424.8125,2024.1275,2715.135,1782.21,1189.145,973.535,-56.203098556793684,90.5608632714831,-146.7639618282768,False,2
2611,284.405,352.69,393.59749999999997,412.90999999999997,388.0625,345.85249999999996,-1.4062589320308103,38.393312353861575,-39.799571285892384,False,2
2619,811.79,1065.645,1325.895,1169.94,966.6875,929.89,-27.091700323177925,63.32980204240013,-90.42150236557805,False,2
2622,506.8825,655.73,838.09,615.9975000000001,500.29,470.405,-40.30593373026763,65.34206645524358,-105.64800018551122,False,2
2631,78.355,105.3125,117.06,95.82,81.9025,63.1475,-30.033743379463523,49.39697530470295,-79.43071868416646,False,2
2634,341.525,492.02,591.825,745.6875,660.005,630.875,11.520297385206767,73.28892467608523,-61.76862729087846,False,2
2635,555.88,678.0799999999999,908.515,1014.13,962.155,982.15,5.904140272862858,63.43725264445563,-57.53311237159278,False,2
2636,122.25,128.375,115.125,142.085,156.605,127.6875,36.030401737242116,-5.828220858895705,41.85862259613782,False,2
2641,162.83499999999998,237.75,289.6675,254.35500000000002,158.69,139.10750000000002,-45.21649822641478,77.89019559676977,-123.10669382318454,False,2
2642,107.565,204.9175,262.8525,152.7475,98.1225,92.52,-62.67012868433818,144.36619718309862,-207.0363258674368,False,2
2643,75.0,88.91499999999999,106.0,79.125,82.9975,68.78999999999999,-21.700471698113205,41.333333333333336,-63.03380503144654,False,2
2654,32.54,67.0,94.0825,54.875,39.6875,38.915,-57.81627826641511,189.12876459741855,-246.94504286383366,False,2
3000,781.665,965.04,1318.735,1332.6074999999998,1164.5275,1135.78,-11.693592723329555,68.70846206495109,-80.40205478828065,False,3
3111,138.37,153.895,177.6675,163.12,134.0,126.0,-24.578214923945005,28.400303534003022,-52.97851845794803,False,3
3112,1115.0225,1319.75,1513.5349999999999,1548.5325,1445.5975,1437.75,-4.488663955574188,35.74031017311308,-40.22897412868727,False,3
3113,322.9375,381.4575,523.48,572.935,550.47,460.0575,5.155879880797739,62.09947745306755,-56.94359757226981,False,3
3115,33.519999999999996,52.8925,74.0425,74.4175,69.3,62.5725,-6.405105176081313,120.89051312649168,-127.29561830257299,False,3
3118,1565.2775000000001,1770.105,2164.0150000000003,2122.7275,1997.0,1949.5349999999999,-7.717830052009819,38.25120465859888,-45.969034710608696,False,3
3119,150.8075,204.0,262.9175,281.4325,228.685,192.7075,-13.02024399288751,74.33980405483813,-87.36004804772564,False,3
3122,389.73,546.145,757.635,800.0525,779.6475,619.8675000000001,2.9054227959373637,94.39996920945268,-91.49454641351531,False,3
3123,448.34499999999997,528.9525,591.3525,585.9925,560.0375,645.33,-5.295487885821053,31.896753616076907,-37.19224150189796,False,3
3132,35.582499999999996,43.045,52.625,54.375,50.582499999999996,59.105000000000004,-3.8812351543943064,47.89573526312093,-51.77697041751524,False,3
3139,48.31,66.02250000000001,84.0825,78.25,66.18,65.2075,-21.29158861832128,74.04781618712481,-95.3394048054461,False,3
3141,162.875,228.1225,249.415,206.44,177.195,188.0425,-28.955756470140127,53.13277052954719,-82.08852699968732,False,3
3211,222.0425,256.4375,310.25,296.83,277.625,258.3325,-10.515713134568896,39.725503000551704,-50.2412161351206,False,3
3213,711.2025,836.7725,1143.27,947.645,709.735,690.7175,-37.920613678308705,60.75168464677782,-98.67229832508653,False,3
3214,137.3725,164.9975,185.4,196.6025,218.0,149.665,17.583603020496223,34.961509763598976,-17.377906743102752,False,3
3221,1937.705,2192.69,2960.1425,3091.545,3067.6875,3138.165,3.6331021226174105,52.76538482379929,-49.13228270118188,False,3
3251,155.0625,161.5,249.875,326.4175,290.03999999999996,286.02,16.07403701850924,61.1446997178557,-45.07066269934646,False,3
