ch_isco_4digit,ch_isco_label,main_group,label_clean
2423,Berufsberater und -analytiker und vergleichbare Spezialisten der Personalwesen,2,berufsberater und analytiker und vergleichbare spezialisten der personalwesen
2424,Fachkräfte in Personalschulung und -entwicklung,2,fachkraefte in personalschulung und entwicklung
2430,"Spezialisten in Vertrieb, Marketing und Öffentlichkeitsarbeit, onA",2,spezialisten in vertrieb marketing und oeffentlichkeitsarbeit ona
2431,Fachkräfte in Marketing und Werbung,2,fachkraefte in marketing und werbung
2432,Fachkräfte in der Öffentlichkeitsarbeit,2,fachkraefte in der oeffentlichkeitsarbeit
2433,Technische Verkaufsfachkräfte (ohne Informations- und Kommunikationstechnologie),2,technische verkaufsfachkraefte ohne informations und kommunikationstechnologie
2434,Technische Verkaufsfachkräfte in der Informations- und Kommunikationstechnologie,2,technische verkaufsfachkraefte in der informations und kommunikationstechnologie
2500,"Spezialisten in der Informations- und Kommunikationstechnologie, onA",2,spezialisten in der informations und kommunikationstechnologie ona
2510,"Entwickler und Analytiker von Software und Anwendungen, onA",2,entwickler und analytiker von software und anwendungen ona
2511,Systemanalytiker,2,systemanalytiker
2512,Softwareentwickler,2,softwareentwickler
2513,Mediamatiker,2,mediamatiker
2514,Anwendungsprogrammierer,2,anwendungsprogrammierer
2519,"Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt",2,entwickler und analytiker von software und anwendungen anderweitig nicht genannt
2520,"Fachkräfte für Datenbanken und Netzwerke, onA",2,fachkraefte fuer datenbanken und netzwerke ona
2521,Datenbankentwickler und -administratoren,2,datenbankentwickler und administratoren
2522,Systemadministratoren,2,systemadministratoren
2523,Fachkräfte für Computernetzwerke,2,fachkraefte fuer computernetzwerke
2529,"Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt.",2,fachkraefte fuer datenbanken und netzwerke anderweitig nicht genannt
2600,"Juristen, Sozialwissenschaftler und Kulturberufe, onA",2,juristen sozialwissenschaftler und kulturberufe ona
2610,"Juristen, onA",2,juristen ona
2611,Anwälte,2,anwaelte
2612,Richter,2,richter
2619,"Juristen, anderweitig nicht genannt",2,juristen anderweitig nicht genannt
2620,"Archiv-, Bibliotheks- und Museumswissenschaftler, onA",2,archiv bibliotheks und museumswissenschaftler ona
2621,Archiv- und Museumswissenschaftler,2,archiv und museumswissenschaftler
2622,Bibliothekswissenschaftler und verwandte Informationswissenschaftler,2,bibliothekswissenschaftler und verwandte informationswissenschaftler
2630,"Sozialwissenschaftler, Geistliche und Seelsorger, onA",2,sozialwissenschaftler geistliche und seelsorger ona
2631,Volkswirtschaftler,2,volkswirtschaftler
2632,"Soziologen, Anthropologen und verwandte Wissenschaftler",2,soziologen anthropologen und verwandte wissenschaftler
2633,"Philosophen, Historiker und Politologen",2,philosophen historiker und politologen
2634,Psychologen,2,psychologen
2635,Sozialarbeiter,2,sozialarbeiter
2636,Geistliche Seelsorger,2,geistliche seelsorger
2640,"Autoren, Journalisten und Linguisten, onA",2,autoren journalisten und linguisten ona
2641,Autoren und verwandte schriftstellerische Berufe,2,autoren und verwandte schriftstellerische berufe
2642,Journalisten,2,journalisten
2643,"Übersetzer, Dolmetscher und andere Linguisten",2,uebersetzer dolmetscher und andere linguisten
2650,"Bildende und darstellende Künstler, onA",2,bildende und darstellende kuenstler ona
2651,Bildende Künstler,2,bildende kuenstler
2652,"Musiker, Sänger und Komponisten",2,musiker saenger und komponisten
2653,Tänzer und Choreografen,2,taenzer und choreografen
2654,Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen,2,regisseure und produzenten im film und buehnenbereich sowie in verwandten bereichen
2655,Schauspieler,2,schauspieler
2656,"Sprecher im Rundfunk, Fernsehen und sonstigen Medien",2,sprecher im rundfunk fernsehen und sonstigen medien
2659,"Bildende und darstellende Künstler, anderweitig nicht genannt",2,bildende und darstellende kuenstler anderweitig nicht genannt
3000,"Techniker und gleichrangige nichttechnische Berufe, onA",3,techniker und gleichrangige nichttechnische berufe ona
3100,"Ingenieurtechnische und vergleichbare Fachkräfte, onA",3,ingenieurtechnische und vergleichbare fachkraefte ona
3110,"Material- und ingenieurtechnische Fachkräfte, onA",3,material und ingenieurtechnische fachkraefte ona
3111,Chemo- und Physikotechniker,3,chemo und physikotechniker
3112,Bauführer und Bautechniker,3,baufuehrer und bautechniker
3113,Elektrotechniker,3,elektrotechniker
3114,Techniker im Bereich Elektronik,3,techniker im bereich elektronik
3115,"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse",3,maschinenbautechniker techniker im bereich systemtechnik automation und unternehmensprozesse
3116,Chemiebetriebs- und Verfahrenstechniker,3,chemiebetriebs und verfahrenstechniker
3117,Bergbau- und Hüttentechniker,3,bergbau und huettentechniker
3118,Technische Zeichner,3,technische zeichner
3119,"Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt",3,material und ingenieurtechnische fachkraefte anderweitig nicht genannt
3120,"Produktionsleiter im Bergbau, bei der Herstellung von Waren, Polier und Vorarbeiter im Bau, onA",3,produktionsleiter im bergbau bei der herstellung von waren polier und vorarbeiter im bau ona
3121,Produktionsleiter im Bergbau,3,produktionsleiter im bergbau
3122,Produktionsleiter bei der Herstellung von Waren,3,produktionsleiter bei der herstellung von waren
3123,Poliere und Vorarbeiter,3,poliere und vorarbeiter
3130,"Techniker in der Prozesssteuerung, onA",3,techniker in der prozesssteuerung ona
3131,Steuerer von Energieerzeugungsanlagen,3,steuerer von energieerzeugungsanlagen
3132,Steuerer von Verbrennungs- und Wasserbehandlungsanlagen,3,steuerer von verbrennungs und wasserbehandlungsanlagen
3133,Steuerer von chemischen Verfahrensanlagen,3,steuerer von chemischen verfahrensanlagen
3134,Steuerer von Erdöl- und Erdgasraffinationsanlagen,3,steuerer von erdoel und erdgasraffinationsanlagen
3135,Steuerer von Verfahren in der Metallerzeugung,3,steuerer von verfahren in der metallerzeugung
3139,"Techniker in der Prozesssteuerung, anderweitig nicht genannt",3,techniker in der prozesssteuerung anderweitig nicht genannt
3140,"Biotechniker und verwandte technische Berufe, onA",3,biotechniker und verwandte technische berufe ona
3141,Biotechniker (ohne medizinische Fachberufe),3,biotechniker ohne medizinische fachberufe
3142,Agrartechniker,3,agrartechniker
3143,Forsttechniker,3,forsttechniker
3150,"Schiffsführer, Flugzeugpiloten und verwandte Berufe, onA",3,schiffsfuehrer flugzeugpiloten und verwandte berufe ona
3151,Technische Schiffsoffiziere,3,technische schiffsoffiziere
3152,"Schiffsführer, nautische Schiffsoffiziere und Schiffslotsen",3,schiffsfuehrer nautische schiffsoffiziere und schiffslotsen
3153,Flugzeugpiloten und verwandte Berufe,3,flugzeugpiloten und verwandte berufe
3154,Flugverkehrslotsen,3,flugverkehrslotsen
3155,Flugsicherungstechniker,3,flugsicherungstechniker
3200,"Assistenzberufe im Gesundheitswesen, onA",3,assistenzberufe im gesundheitswesen ona
3210,"Medizinische und pharmazeutische Fachberufe, onA",3,medizinische und pharmazeutische fachberufe ona
3211,Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte,3,medizintechniker im bereich bildgebende verfahren und therapiegeraete
3212,Medizintechniker im Bereich Labor und Pathologie,3,medizintechniker im bereich labor und pathologie
3213,Pharmazeutische Techniker und Assistenten,3,pharmazeutische techniker und assistenten
3214,Medizinische und zahnmedizinische Prothetiktechniker,3,medizinische und zahnmedizinische prothetiktechniker
