soc_code,isco_4digit,mapping_stage
33-9021.00,3411,1
29-2011.00,3212,1
17-2112.02,2149,1
29-2081.00,3254,1
51-9081.00,3214,1
29-9093.00,3256,1
51-9141.00,3114,1
25-1022.00,2310,1
49-2098.00,3112,1
27-4031.00,3521,1
49-9062.00,3214,1
11-9121.00,1223,1
15-2051.02,3252,1
29-2034.00,2269,1
29-2011.02,3212,1
35-3011.00,1412,1
25-2056.00,2352,1
19-1041.00,2131,1
27-3043.00,2641,1
17-2111.02,2149,1
17-2111.00,2149,1
41-3031.00,3311,1
53-3011.00,3258,1
43-2021.00,1439,1
27-3031.00,2432,1
33-1091.00,1219,1
27-1013.00,2651,1
19-1013.00,2133,1
15-2031.00,2421,1
47-5043.00,3121,1
17-2072.00,2152,1
51-9151.00,3431,1
19-1032.00,2133,1
25-1064.00,2310,1
25-1124.00,2310,1
29-1222.00,2131,1
15-2021.00,2120,1
17-3031.00,2165,1
19-2021.00,2112,1
29-9091.00,2269,1
21-1014.00,2635,1
29-2011.01,2131,1
49-9061.00,3254,1
17-1011.00,2161,1
29-1224.00,2269,1
51-9082.00,3214,1
43-5011.01,3331,1
19-3039.03,2634,1
51-4041.00,2514,1
43-3071.00,1112,1
51-4062.00,2163,1
43-4121.00,2621,1
29-1141.03,2221,1
53-1043.00,3122,1
39-7011.00,1439,1
25-1031.00,2310,1
29-9099.01,2221,1
39-1022.00,1439,1
15-1253.00,2519,1
19-4042.00,3111,1
49-2097.00,3521,1
29-1122.01,2269,1
19-4043.00,2114,1
47-2051.00,3123,1
25-4013.00,2621,1
29-1291.00,2230,1
49-9092.00,3112,1
27-4021.00,3431,1
23-1012.00,3411,1
25-1067.00,2310,1
29-1125.00,2269,1
29-1141.01,2221,1
19-3093.00,2633,1
51-9083.00,3254,1
47-2041.00,3123,1
33-3031.00,2133,1
27-3023.00,2642,1
39-4031.00,2635,1
53-5031.00,3151,1
51-6092.00,2163,1
51-2011.00,3115,1
47-5071.00,2146,1
47-5012.00,2146,1
43-5061.00,2141,1
13-2022.00,3315,1
19-5012.00,3257,1
17-2171.00,2146,1
41-4011.00,2433,1
11-9072.00,1431,1
43-3051.00,3313,1
17-3013.00,3118,1
49-1011.00,3123,1
47-5022.00,3121,1
51-9011.00,3133,1
