ch_isco_4digit,ads_2020,ads_2021,ads_2022,ads_2023,ads_2024,ads_2025,main_group,delta_2020_2021,delta_2021_2022,delta_2022_2023,delta_2023_2024
2142,385.75,436.99,500.1325,488.5625,489.7675,488.1575,2,13.283214517174338,14.449415318428334,-2.3133869524575976,0.2466419342458711
2144,108.72749999999999,169.16500000000002,217.26,207.9525,183.9125,168.2025,2,55.58621323952085,28.430821978541637,-4.284037558685448,-11.560332287421403
2149,2748.6,3687.6225,4585.085,4162.6849999999995,3474.2325,3108.5825,2,34.163665138616025,24.337157613069127,-9.212479157965458,-16.538664347650602
2151,159.54000000000002,200.64749999999998,262.22749999999996,222.395,175.1575,153.8875,2,25.766265513350856,30.690639056056014,-15.190054437463637,-21.24036061961825
2152,68.8325,105.7075,146.1675,118.975,96.5625,94.6425,2,53.572077143791084,38.27542984178038,-18.603656763644448,-18.837991174616512
2161,470.3475,571.48,702.8824999999999,630.03,539.515,557.3225,2,21.50165569073929,22.993368096871265,-10.364819155406483,-14.366776185261019
2162,63.167500000000004,73.4175,98.645,80.875,66.2525,81.495,2,16.226698856215616,34.361698505124785,-18.014090932130365,-18.080370942812987
2163,108.25,180.605,217.54000000000002,193.22750000000002,136.3575,140.1825,2,66.84064665127019,20.450707344757916,-11.176105543808035,-29.431628520785097
2164,94.1875,124.6375,154.895,138.175,134.9325,111.5825,2,32.329130723291314,24.276401564537164,-10.794409115852673,-2.3466618418672023
2165,149.5925,188.4775,190.2975,166.87,157.565,173.95,2,25.993950231462133,0.9656325025533667,-12.310986744439631,-5.576197039611678
2166,431.2425,620.0225,729.5725,540.37,463.2775,404.54,2,43.775833782616516,17.668713635392255,-25.93333767377471,-14.266613616596041
2211,1448.27,1655.63,1787.9775,1811.7725,1610.02,1615.2525,2,14.317772238601927,7.9937848432318726,1.33083330187321,-11.135642030111399
2212,556.665,656.265,808.1075,865.4075,726.8675,687.9025,2,17.89226913853036,23.137375907598297,7.0906407872715045,-16.008643326987585
2221,4381.1125,4853.5425,5921.97,5984.4574999999995,5266.96,5016.925,2,10.783334141727687,22.01335416347958,1.0551809617407597,-11.989349076336486
2222,68.89750000000001,96.23,119.605,85.96000000000001,64.0,62.3875,2,39.671250771072955,24.290761716720358,-28.13009489569834,-25.54676593764542
2261,96.875,106.5,144.4575,150.1025,140.84,147.8425,2,9.935483870967742,35.64084507042254,3.9077237249709995,-6.170783298079638
2262,420.895,425.3125,685.5024999999999,570.625,368.2325,336.105,2,1.0495491749723846,61.17619397501836,-16.7581445727769,-35.46856516976999
2264,387.53999999999996,450.6,506.0175,459.8325,415.3,482.3025,2,16.271868710326693,12.298601864181084,-9.127154693266538,-9.684504683770715
2266,238.055,279.315,308.35,307.1675,308.2975,320.79999999999995,2,17.332129129822935,10.39507366235255,-0.3834927841738299,0.3678774609944071
2269,656.845,834.475,966.915,862.7950000000001,734.4425,745.195,2,27.042909666664126,15.871056652386223,-10.76826815180237,-14.876361128657454
2300,1437.7225,1605.835,1943.1825,3005.25,3378.4325,3140.5999999999995,2,11.692972739871564,21.007606634554598,54.656086085583844,12.417685716662504
2310,972.5025,1200.915,1331.43,1186.09,1021.5174999999999,990.6825,2,23.48708615144947,10.867963178076726,-10.916082708065774,-13.875211830468176
2320,218.52,307.6275,359.855,293.19,316.125,312.3125,2,40.77773201537616,16.977513388757515,-18.525517222214507,7.822572393328558
2330,163.25,208.625,227.625,199.08249999999998,176.4975,166.8325,2,27.7947932618683,9.107249850209707,-12.539264140582107,-11.344543091431934
2341,325.0,413.645,468.7725,363.625,300.54,262.375,2,27.275384615384613,13.327249211280204,-22.430390007946283,-17.34891715366105
2342,265.52,257.57,320.9675,245.5,210.33249999999998,206.665,2,-2.9941247363663717,24.613697247350228,-23.51250516017976,-14.324847250509173
2351,335.24,449.3825,482.84,575.0375,524.3525,512.05,2,34.04799546593485,7.445216491518913,19.09483472786017,-8.81420776905855
2352,699.4549999999999,889.2475,1050.6425,1155.3125,1181.2375,1126.3425,2,27.13434030781109,18.149615264591688,9.962475342469022,2.2439816067081377
2353,191.9575,210.79000000000002,280.75,252.2475,237.0825,241.04000000000002,2,9.810765403800325,33.1894302386261,-10.15227070347284,-6.011952546606008
2359,417.9375,427.52,541.25,582.415,522.325,516.2825,2,2.292806938836544,26.602264221556894,7.605542725173203,-10.31738536953889
2410,121.0,138.75,181.1675,155.83499999999998,105.85,118.7625,2,14.669421487603307,30.571171171171162,-13.982916361930265,-32.075592774408825
2411,777.1825,1078.1375,1351.2225,1266.335,1094.71,1006.6175000000001,2,38.723851862336076,25.329329515020117,-6.282274014827317,-13.552890822728584
2412,711.9375,972.8,1220.2875,1056.29,935.0575,802.8,2,36.64120797120533,25.440738075657894,-13.439250996179176,-11.477198496624977
2413,374.03999999999996,609.5625,765.355,559.7725,458.5625,382.27750000000003,2,62.967196021815866,25.558084691889675,-26.861064473348968,-18.080559513016453
2421,907.8125,1339.04,1619.4175,1320.895,1072.635,951.5075,2,47.501824440619615,20.938694885888403,-18.433943069035628,-18.794832291741585
2422,298.2875,432.2475,533.475,422.83,280.355,232.465,2,44.909692829904024,23.418874603091982,-20.74042832372652,-33.69557505380412
2423,917.3125,1346.2475,1882.81,1717.5925,1443.5475000000001,1248.2649999999999,2,46.75996457041629,39.85615572173764,-8.775048995915679,-15.955181453109505
2424,146.77249999999998,212.4525,274.3975,240.935,223.345,203.7375,2,44.74952732971096,29.157105705981333,-12.19489973487367,-7.300724261730343
2430,716.7175,976.44,1280.375,1048.1025,830.335,792.0425,2,36.237778483154116,31.12684855188234,-18.14097432392854,-20.777309471163356
2431,2049.355,3110.5299999999997,4047.245,2804.315,1938.8474999999999,1802.6225,2,51.780926193851215,30.114321353595695,-30.710520366323262,-30.86199303573244
2432,296.6675,540.7925,643.125,448.1675,341.4175,278.21000000000004,2,82.28909469355422,18.92269216011686,-30.314091350826043,-23.81921937668394
