ch_isco_4digit,year,quarter,count_ads
2000,2025,3,1034.37
2000,2025,4,1077.42
2111,2020,1,72.08
2111,2020,2,44.58
2111,2020,3,46.0
2111,2020,4,59.17
2111,2021,1,48.67
2111,2021,2,46.08
2111,2021,3,68.83
2111,2021,4,96.5
2111,2022,1,69.17
2111,2022,2,65.33
2111,2022,3,53.67
2111,2022,4,70.5
2111,2023,1,72.33
2111,2023,2,59.5
2111,2023,3,85.33
2111,2023,4,81.5
2111,2024,1,86.83
2111,2024,2,72.17
2111,2024,3,54.17
2111,2024,4,64.5
2111,2025,1,80.0
2111,2025,2,61.5
2111,2025,3,58.08
2111,2025,4,63.92
2113,2020,1,108.67
2113,2020,2,106.17
2113,2020,3,116.33
2113,2020,4,113.25
2113,2021,1,138.75
2113,2021,2,140.5
2113,2021,3,112.5
2113,2021,4,121.33
2113,2022,1,146.83
2113,2022,2,187.17
2113,2022,3,173.17
2113,2022,4,141.0
2113,2023,1,137.67
2113,2023,2,143.33
2113,2023,3,126.83
2113,2023,4,109.67
2113,2024,1,103.83
2113,2024,2,110.0
2113,2024,3,99.17
2113,2024,4,101.0
2113,2025,1,108.17
2113,2025,2,81.67
2113,2025,3,91.0
2113,2025,4,89.92
2120,2020,1,166.87
2120,2020,2,131.83
2120,2020,3,145.67
2120,2020,4,170.67
2120,2021,1,172.5
2120,2021,2,173.75
2120,2021,3,151.17
2120,2021,4,183.5
2120,2022,1,198.83
2120,2022,2,205.17
2120,2022,3,146.17
2120,2022,4,153.42
2120,2023,1,148.75
2120,2023,2,162.5
2120,2023,3,121.33
2120,2023,4,120.4
2120,2024,1,110.23
2120,2024,2,132.33
2120,2024,3,121.5
2120,2024,4,126.75
2120,2025,1,139.07
2120,2025,2,132.42
2120,2025,3,88.58
2120,2025,4,78.83
2130,2020,1,203.67
2130,2020,2,171.83
2130,2020,3,208.5
2130,2020,4,204.0
2130,2021,1,255.67
2130,2021,2,238.33
2130,2021,3,235.67
2130,2021,4,249.17
2130,2022,1,282.83
2130,2022,2,258.92
2130,2022,3,257.25
2130,2022,4,257.17
2130,2023,1,280.67
2130,2023,2,244.83
2130,2023,3,216.5
2130,2023,4,207.58
2130,2024,1,174.17
2130,2024,2,163.75
2130,2024,3,149.33
2130,2024,4,155.25
2130,2025,1,181.33
2130,2025,2,188.5
2130,2025,3,165.42
2130,2025,4,136.5
2131,2020,1,66.2
2131,2020,2,59.17
2131,2020,3,64.83
2131,2020,4,73.33
2131,2021,1,93.83
2131,2021,2,113.08
2131,2021,3,80.5
2131,2021,4,75.92
2131,2022,1,83.83
2131,2022,2,166.75
2131,2022,3,113.0
2131,2022,4,90.67
2131,2023,1,77.67
2131,2023,2,86.25
2131,2023,3,69.08
2131,2023,4,68.42
2131,2024,1,75.17
2131,2024,2,78.5
2131,2024,3,78.33
2131,2024,4,67.67
2131,2025,1,67.08
2131,2025,2,51.42
2131,2025,3,52.53
2131,2025,4,43.53
2141,2020,1,129.83
2141,2020,2,87.92
2141,2020,3,79.0
2141,2020,4,120.67
2141,2021,1,150.25
2141,2021,2,158.67
2141,2021,3,158.17
2141,2021,4,170.08
2141,2022,1,200.08
2141,2022,2,222.0
2141,2022,3,212.75
2141,2022,4,182.5
2141,2023,1,209.5
2141,2023,2,193.0
2141,2023,3,195.0
2141,2023,4,177.33
2141,2024,1,184.67
2141,2024,2,151.67
2141,2024,3,146.15
2141,2024,4,158.48
2141,2025,1,158.96
2141,2025,2,151.62
2141,2025,3,149.19
2141,2025,4,153.33
2142,2020,1,418.5
2142,2020,2,395.5
2142,2020,3,373.5
2142,2020,4,355.5
2142,2021,1,414.92
2142,2021,2,433.17
2142,2021,3,420.92
2142,2021,4,478.95
2142,2022,1,492.78
2142,2022,2,546.92
2142,2022,3,497.33
2142,2022,4,463.5
2142,2023,1,487.08
2142,2023,2,505.0
2142,2023,3,479.42
2142,2023,4,482.75
2142,2024,1,509.17
2142,2024,2,494.83
2142,2024,3,471.75
2142,2024,4,483.32
2142,2025,1,464.0
2142,2025,2,501.7
2142,2025,3,487.6
2142,2025,4,499.33
2143,2020,1,45.33
2143,2020,2,41.67
2143,2020,3,37.0
