soc_code,isco_4digit,main_group,E_j,delta_bfs,is_outlier,employed_2022,employed_2024,qualification_level,sector
15-1299.02,2165,2,0.7093255080774681,12.150989028182206,False,1.377854227406,1.5452771434024477,4,Sonstiges
15-1299.03,2621,2,0.5964619967912621,37.40303524920816,False,2.5007701291260007,3.436134062024667,4,Sonstiges
15-1299.08,2511,2,0.7481387978458466,8.102901968455852,False,29.740223548839005,32.15004470820105,4,Sonstiges
15-2011.00,3321,3,0.8363273666059644,0.6588933582317137,False,16.217702350982005,16.324559714630414,3,Sonstiges
15-2021.00,2120,2,0.8221255062183342,30.77306189244979,False,8.721144665276999,11.404907910852772,4,Sonstiges
15-2031.00,2421,2,0.939551768827381,8.184937686697829,False,23.15272405713,25.047760093979186,4,Sonstiges
15-2041.00,2120,2,0.9999999999148358,30.77306189244979,False,8.721144665276999,11.404907910852772,4,Sonstiges
15-2041.01,2131,2,0.7444831781060869,11.293192447554636,False,8.866294443315,9.867582137765408,4,Sonstiges
15-2051.01,2421,2,0.7443816557684924,8.184937686697829,False,23.15272405713,25.047760093979186,4,Sonstiges
15-2051.02,3252,3,0.6146362922649083,-2.470545011933432,False,0.707328782249,0.6898539063011778,3,Sonstiges
15-2099.01,3141,3,0.7910558163084317,-3.5863230283961043,False,3.350140159418,3.229993311397246,3,Sonstiges
17-1011.00,2161,2,0.5549108408153365,9.894978048683711,False,28.544426125306003,31.36889082452777,4,Sonstiges
17-1012.00,2162,2,0.15313803266901294,5.71050797940129,False,1.572515060856,1.6623136588834688,4,Sonstiges
17-2011.00,3115,3,0.597814783416534,8.663945221420533,False,11.019605854272998,11.97433846910366,3,Sonstiges
17-2041.00,2113,2,0.6142177837421713,-25.65705168449016,False,3.974386962397,2.954676445313163,4,Sonstiges
17-2051.00,2142,2,0.5000669461306348,-10.828876725506763,False,11.233861333084002,10.017360337809963,4,Sonstiges
17-2051.01,2142,2,0.49493945085406593,-10.828876725506763,False,11.233861333084002,10.017360337809963,4,Sonstiges
17-2051.02,2142,2,0.5694240475158617,-10.828876725506763,False,11.233861333084002,10.017360337809963,4,Sonstiges
17-2061.00,2152,2,0.8310631022388233,11.772856190832965,False,3.099915272122,3.4648638391465907,4,Sonstiges
17-2071.00,2151,2,0.6785514706263375,15.215205434231253,False,6.666120611251,7.680384556746472,4,Sonstiges
17-2072.00,2152,2,0.7119784136075366,11.772856190832965,False,3.099915272122,3.4648638391465907,4,Sonstiges
17-2072.01,2152,2,0.5354246364329057,11.772856190832965,False,3.099915272122,3.4648638391465907,4,Sonstiges
17-2111.00,2149,2,0.4463605015582757,-6.754156071991167,False,5.215934733249,4.863642360752166,4,Sonstiges
17-2111.02,2149,2,0.5043768350762702,-6.754156071991167,False,5.215934733249,4.863642360752166,4,Sonstiges
17-2112.01,2149,2,0.6361369767064825,-6.754156071991167,False,5.215934733249,4.863642360752166,4,Sonstiges
17-2112.02,2149,2,0.5463917564043163,-6.754156071991167,False,5.215934733249,4.863642360752166,4,Sonstiges
17-2112.03,2141,2,0.41376094660654883,-3.4113833788767387,False,9.624988998978,9.29664372404815,4,Sonstiges
17-2121.00,2144,2,0.5774426046447106,8.453074726624155,False,9.728896910697,10.551287836634446,4,Sonstiges
17-2131.00,2149,2,0.6214732532624929,-6.754156071991167,False,5.215934733249,4.863642360752166,4,Sonstiges
17-2141.00,2144,2,0.6609996418450073,8.453074726624155,False,9.728896910697,10.551287836634446,4,Sonstiges
17-2141.02,2144,2,0.8147034292759272,8.453074726624155,False,9.728896910697,10.551287836634446,4,Sonstiges
17-2151.00,2142,2,0.7321120492704667,-10.828876725506763,False,11.233861333084002,10.017360337809963,4,Sonstiges
17-2171.00,2146,2,0.3753150162120736,,,,,4,Sonstiges
17-2199.03,2149,2,0.6527388546883309,-6.754156071991167,False,5.215934733249,4.863642360752166,4,Sonstiges
17-2199.05,2144,2,0.4723586018756146,8.453074726624155,False,9.728896910697,10.551287836634446,4,Sonstiges
17-2199.06,2152,2,0.5291119623044577,11.772856190832965,False,3.099915272122,3.4648638391465907,4,Sonstiges
17-2199.07,2149,2,0.6633067005313583,-6.754156071991167,False,5.215934733249,4.863642360752166,4,Sonstiges
17-2199.10,2149,2,0.794707732149138,-6.754156071991167,False,5.215934733249,4.863642360752166,4,Sonstiges
17-2199.11,2149,2,0.5585895698044941,-6.754156071991167,False,5.215934733249,4.863642360752166,4,Sonstiges
17-3011.00,3118,3,0.5089393250533477,4.637777016294312,False,27.021317878039003,28.27450634808652,3,Sonstiges
17-3012.00,3118,3,0.4698246591055825,4.637777016294312,False,27.021317878039003,28.27450634808652,3,Sonstiges
17-3013.00,3118,3,0.5604878069337449,4.637777016294312,False,27.021317878039003,28.27450634808652,3,Sonstiges
17-3021.00,3115,3,0.3517448913897574,8.663945221420533,False,11.019605854272998,11.97433846910366,3,Sonstiges
17-3022.00,3112,3,0.6431918626085297,1.1121365671922114,False,38.516833221537,38.94519300831815,3,Sonstiges
17-3023.00,3114,3,0.48220160444857774,30.723079611849,False,1.366058589767,1.7857538578456174,3,Sonstiges
17-3024.00,3115,3,0.21960208632180686,8.663945221420533,False,11.019605854272998,11.97433846910366,3,Sonstiges
17-3024.01,3119,3,0.37028858742639614,1.62724475730064,False,18.554461015303,18.856387509419907,3,Sonstiges
17-3025.00,2143,2,0.14038676330550082,13.176421351911834,False,1.509607549755,1.708519801270991,4,Sonstiges
17-3026.00,3119,3,0.4338345144419275,1.62724475730064,False,18.554461015303,18.856387509419907,3,Sonstiges
17-3026.01,3141,3,0.6813794421993772,-3.5863230283961043,False,3.350140159418,3.229993311397246,3,Sonstiges
17-3027.00,3115,3,0.39839627583798903,8.663945221420533,False,11.019605854272998,11.97433846910366,3,Sonstiges
17-3027.01,3115,3,0.5261742315743585,8.663945221420533,False,11.019605854272998,11.97433846910366,3,Sonstiges
17-3031.00,2165,2,0.5616044910598974,12.150989028182206,False,1.377854227406,1.5452771434024477,4,Sonstiges
19-1011.00,2131,2,0.6308678716431881,11.293192447554636,False,8.866294443315,9.867582137765408,4,Sonstiges
19-1012.00,2145,2,0.47729282849555166,-4.152217364011823,False,2.5566012285310005,2.4504455883913967,4,Sonstiges
19-1013.00,2133,2,0.7125566900524294,19.90030126565172,False,3.499424292972,4.195820269836831,4,Sonstiges
19-1021.00,2131,2,0.7940971091945869,11.293192447554636,False,8.866294443315,9.867582137765408,4,Sonstiges
19-1022.00,2131,2,0.4782192789746246,11.293192447554636,False,8.866294443315,9.867582137765408,4,Sonstiges
19-1023.00,2131,2,0.24551770963967656,11.293192447554636,False,8.866294443315,9.867582137765408,4,Sonstiges
19-1029.01,2131,2,0.7031367783481229,11.293192447554636,False,8.866294443315,9.867582137765408,4,Sonstiges
19-1029.02,2131,2,0.5920779161365723,11.293192447554636,False,8.866294443315,9.867582137765408,4,Sonstiges
19-1029.04,2131,2,0.7770184822091111,11.293192447554636,False,8.866294443315,9.867582137765408,4,Sonstiges
19-1031.00,2133,2,0.5157117718585472,19.90030126565172,False,3.499424292972,4.195820269836831,4,Sonstiges
19-1031.02,2133,2,0.252358077277562,19.90030126565172,False,3.499424292972,4.195820269836831,4,Sonstiges
19-1032.00,2133,2,0.17624683512710715,19.90030126565172,False,3.499424292972,4.195820269836831,4,Sonstiges
19-1041.00,2131,2,0.5082055026130708,11.293192447554636,False,8.866294443315,9.867582137765408,4,Sonstiges
