ch_isco_4digit,E_j_mean,E_sub_mean,E_aug_mean,main_group,n_onet_berufe,periode,delta_bfs,post_ki
3255,0.07801970086289196,0.06649316446376867,0.09473396814138169,3,3,2021_2022,7.287079696561737,0
3256,0.11777428304291773,0.10535482282363184,0.13545538313544017,3,2,2021_2022,3.16386336217725,0
3257,0.22927808859856022,0.2006780403886429,0.2704028647878183,3,2,2021_2022,-14.476657199275426,0
3258,0.00613883740600005,0.0052132079776016525,0.007482293924182485,3,2,2021_2022,-0.4098860971960635,0
3259,0.1287622963355375,0.11272683087379014,0.15181807187481175,3,6,2021_2022,1.587467546722076,0
3311,0.3652221930922508,0.33730452369147057,0.40398994905205693,3,2,2021_2022,7.468183962591788,0
3312,0.39066535372503847,0.36780697929658074,0.42151608593904083,3,6,2021_2022,17.695345289453847,0
3313,0.46044686453367106,0.46309823756997015,0.4519479468202895,3,2,2021_2022,-4.151825796952723,0
3315,0.43672424063098303,0.42873251930348233,0.44459020426353624,3,4,2021_2022,16.939860616400136,0
3321,0.43372293626279373,0.40601477624522003,0.4715066549783726,3,3,2021_2022,5.829540986836773,0
3323,0.19029892003078216,0.1669756415108803,0.22380375719438095,3,3,2021_2022,2.192431595203548,0
3324,0.15367236377498789,0.143447928500438,0.1676767310834312,3,1,2021_2022,-11.844224040302338,0
3331,0.21582229374477332,0.18874781255135514,0.2547653416944867,3,2,2021_2022,-7.665707852453874,0
3332,0.0,0.0,0.0,3,1,2021_2022,-7.644733334215684,0
3333,0.0,0.0,0.0,3,1,2021_2022,-18.950160173676277,0
3334,0.19116619853269406,0.16164783500164046,0.2340538550361737,3,1,2021_2022,5.003215444662029,0
3339,0.0,0.0,0.0,3,1,2021_2022,-6.284952069068314,0
3341,0.1933376564665203,0.19096625547359805,0.19505154718527212,3,2,2021_2022,-0.4194112617396857,0
3343,0.11431383175412627,0.10248804392060089,0.13112863806830857,3,2,2021_2022,1.133298703509996,0
3344,0.255787574384714,0.2465765769595648,0.26726218055076095,3,1,2021_2022,-6.16690456158741,0
3351,0.09650807474989899,0.08811927526077115,0.10828591024541667,3,2,2021_2022,9.7735702560017,0
3355,0.13331665412514057,0.11966534884614839,0.15271392317587082,3,5,2021_2022,-2.2582843398040624,0
3359,0.1603392697470123,0.14885384767937737,0.17619033118042982,3,6,2021_2022,12.890014858401027,0
3411,0.3023272700940374,0.28353882633087024,0.3278677439322171,3,6,2021_2022,7.866816323576385,0
3412,0.0,0.0,0.0,3,2,2021_2022,7.628256709892316,0
3421,0.0,0.0,0.0,3,1,2021_2022,-18.27116399714222,0
